Rk;Name;Born;Pos;GP;G;A;P;PIM;+/-;TOI;ES;PP;SH;ESG;PPG;SHG;GWG;OTG;ESA;PPA;SHA;GWA;OTA;ESP;PPP;SHP;GWP;OTP;PPP%;G/60;A/60;P/60;ESG/60;ESA/60;ESP/60;PPG/60;PPA/60;PPP/60;G/GP;A/GP;P/GP;SHOTS;SH%;HITS;BS;FOW;FOL;FO%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;Mario Lemieux;1965;F;915;690;1033;1723;834;114;;;;;405;236;49;74;11;546;465;22;115;11;951;701;71;189;22;40.7%;;;;;;;;;;0,754;1,129;1,883;3633;19.0%;8;6;1414;1451;49.35%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;Teemu Selänne;1970;F;1451;684;773;1457;660;95;;;;;422;255;7;110;9;438;333;2;116;13;860;588;9;226;22;40.4%;;;;;;;;;;0,471;0,533;1,004;4540;15.1%;123;96;956;1077;47.02%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;Luc Robitaille;1966;F;1431;668;726;1394;1177;71;;;;;418;247;3;89;7;463;260;3;97;5;881;507;6;186;12;36.4%;;;;;;;;;;0,467;0,507;0,974;3961;16.9%;30;15;31;46;40.26%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;Brendan Shanahan;1969;F;1524;656;698;1354;2489;151;;;;;396;237;23;109;12;414;270;14;126;10;810;507;37;235;22;37.4%;;;;;;;;;;0,43;0,458;0,888;5086;12.9%;205;146;343;366;48.38%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;Dave Andreychuk;1963;F;1639;640;698;1338;1121;32;;;;;356;274;10;77;7;402;293;3;103;4;758;567;13;180;11;42.4%;;;;;;;;;;0,39;0,426;0,816;4554;14.1%;5;30;2851;2294;55.41%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;Joe Sakic;1969;F;1378;625;1016;1641;614;30;;;;;388;205;32;86;7;573;426;17;148;11;961;631;49;234;18;38.5%;;;;;;;;;;0,454;0,737;1,191;4621;13.5%;57;93;8297;7544;52.38%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;Jarome Iginla;1977;F;1554;625;675;1300;1040;30;;;;;415;197;13;101;7;435;231;9;105;9;850;428;22;206;16;32.9%;;;;;;;;;;0,402;0,434;0,837;4759;13.1%;1169;335;2879;2683;51.76%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;Bobby Hull;1939;F;1063;610;560;1170;634;249;;;;;437;154;19;98;0;380;170;10;74;0;817;324;29;172;0;27.7%;;;;;;;;;;0,574;0,527;1,101;4569;0.0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;Dino Ciccarelli;1960;F;1232;608;592;1200;1425;-4;;;;;375;232;1;73;1;400;190;2;66;1;775;422;3;139;2;35.2%;;;;;;;;;;0,494;0,481;0,974;3706;16.4%;;;0;2;0.00%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;Jari Kurri;1960;F;1251;601;797;1398;545;304;;;;;407;155;39;72;7;514;240;43;89;6;921;395;82;161;13;28.3%;;;;;;;;;;0,48;0,637;1,118;3149;19.1%;;;108;192;36.00%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;Mark Recchi;1968;F;1652;577;956;1533;1033;0;;;;;359;200;18;91;6;573;369;14;129;10;932;569;32;220;16;37.1%;;;;;;;;;;0,349;0,579;0,928;3820;15.1%;528;174;1043;1145;47.67%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;Mike Bossy;1957;F;752;573;553;1126;210;380;;;;;385;180;8;80;4;354;198;1;88;1;739;378;9;168;5;33.6%;;;;;;;;;;0,762;0,735;1,497;2709;21.2%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;Patrick Marleau;1979;F;1779;566;631;1197;527;-27;17:48;13:49;3:07;0:50;377;172;17;109;11;384;243;4;108;10;761;415;21;217;21;34.7%;1,072;1,195;2,268;0,92;0,937;1,857;1,854;2,619;4,473;0,318;0,355;0,673;4333;13.1%;1157;406;6836;7584;47.41%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
