"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"13","Boston Bruins","56","3410.4333","33","16","7","29","73","0.652","3224","2785","53.65","2543","2127","54.45","1866","1516","55.17","164","134","55.03","142.48","121.53","53.97","1473","1345","52.27","947","793","54.43","127","109","53.81","13.41","86.25","540","512","51.33","421","395","51.59","79","71","52.67","18.76","82.03","933","833","52.83","526","398","56.93","48","38","55.81","9.13","90.45","1552","1268","55.04","810","628","56.33","33","23","58.93","4.07","96.34","8.79","91.16","0.999"
"4","Tampa Bay Lightning","56","3389.3","36","17","3","35","75","0.670","2973","2747","51.98","2297","2102","52.22","1692","1583","51.66","180","145","55.38","153.99","131.83","53.88","1523","1446","51.30","972","902","51.87","147","118","55.47","15.12","86.92","575","543","51.43","470","431","52.16","100","71","58.48","21.28","83.53","948","903","51.22","502","471","51.59","47","47","50.00","9.36","90.02","1278","1133","53.01","662","609","52.08","27","22","55.10","4.08","96.39","10.64","90.84","1.015"
"29","Minnesota Wild","56","3401.7667","35","16","5","34","75","0.670","2837","3210","46.92","2200","2385","47.98","1587","1705","48.21","180","159","53.10","139","134.49","50.83","1310","1359","49.08","840","841","49.97","151","129","53.93","17.98","84.66","569","482","54.14","433","372","53.79","91","72","55.83","21.02","80.65","741","877","45.80","407","469","46.46","60","57","51.28","14.74","87.85","1320","1575","45.60","678","791","46.15","22","28","44.00","3.24","96.46","11.34","90.67","1.020"
"1","Pittsburgh Penguins","56","3399.75","37","16","3","34","77","0.688","2908","2886","50.19","2238","2222","50.18","1685","1680","50.07","193","155","55.46","146.91","142.14","50.82","1446","1355","51.62","918","885","50.92","164","127","56.36","17.86","85.65","580","602","49.07","471","489","49.06","113","89","55.94","23.99","81.80","866","753","53.49","447","396","53.02","51","38","57.30","11.41","90.40","1268","1338","48.66","685","714","48.96","21","25","45.65","3.07","96.50","11.45","90.77","1.022"
"11","Washington Capitals","56","3416.4833","36","15","5","33","77","0.688","3005","2958","50.39","2301","2275","50.28","1647","1612","50.54","188","161","53.87","143.7","138.2","50.98","1382","1335","50.86","837","802","51.07","142","128","52.59","16.97","84.04","548","550","49.91","420","400","51.22","91","85","51.70","21.67","78.75","834","785","51.51","417","402","50.92","51","43","54.26","12.23","89.30","1419","1379","50.71","738","709","51.00","40","27","59.70","5.42","96.19","11.41","90.01","1.014"
"6","Toronto Maple Leafs","56","3386.1667","35","14","7","34","77","0.688","3124","2897","51.89","2411","2189","52.41","1751","1559","52.90","186","148","55.69","168.48","130.64","56.32","1811","1453","55.48","1118","819","57.72","159","122","56.58","14.22","85.10","735","528","58.19","556","387","58.96","102","81","55.74","18.35","79.07","1076","925","53.77","562","432","56.54","57","41","58.16","10.14","90.51","1150","1250","47.92","573","663","46.36","26","23","53.06","4.54","96.53","10.62","90.51","1.011"
"18","Florida Panthers","56","3409.5167","37","14","5","36","79","0.705","3262","2841","53.45","2557","2224","53.48","1955","1683","53.74","188","151","55.46","166.76","138.24","54.68","1542","1318","53.92","1045","871","54.54","151","122","55.31","14.45","85.99","621","521","54.38","515","417","55.26","100","85","54.05","19.42","79.62","921","797","53.61","530","454","53.86","51","37","57.95","9.62","91.85","1512","1322","53.35","818","722","53.12","32","25","56.14","3.91","96.54","9.62","91.03","1.006"
"19","Carolina Hurricanes","56","3417.7833","36","12","8","32","80","0.714","3315","2832","53.93","2503","2174","53.52","1794","1581","53.16","175","134","56.63","171.89","142.69","54.64","1641","1391","54.12","978","875","52.78","139","113","55.16","14.21","87.09","707","596","54.26","516","450","53.42","98","79","55.37","18.99","82.44","934","795","54.02","462","425","52.09","41","34","54.67","8.87","92.00","1438","1225","54.00","730","632","53.60","28","18","60.87","3.84","97.15","9.75","91.52","1.013"
"28","Vegas Golden Knights","56","3396.1333","40","14","2","39","82","0.732","3473","2959","54.00","2557","2116","54.72","1829","1528","54.48","190","122","60.90","174.15","138.53","55.69","1743","1455","54.50","1027","842","54.95","154","104","59.69","15.00","87.65","690","574","54.59","499","429","53.77","99","69","58.93","19.84","83.92","1053","881","54.45","528","413","56.11","55","35","61.11","10.42","91.53","1483","1263","54.01","723","592","54.98","31","17","64.58","4.29","97.13","10.39","92.02","1.024"
"10","Colorado Avalanche","56","3378.65","39","13","4","39","82","0.732","3613","2635","57.83","2657","1958","57.57","1937","1423","57.65","197","132","59.88","175.72","118.17","59.79","1790","1197","59.93","1079","729","59.68","163","106","60.59","15.11","85.46","702","481","59.34","512","369","58.12","93","55","62.84","18.16","85.09","1088","716","60.31","567","360","61.17","70","51","57.85","12.35","85.83","1608","1220","56.86","792","613","56.37","30","22","57.69","3.79","96.41","10.17","90.72","1.009"
