"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"11","Detroit Red Wings","71","4290.4667","17","49","5","14","39","0.275","3426","4056","45.79","2648","3151","45.66","1924","2330","45.23","142","265","34.89","160.06","213.86","42.81","1607","2008","44.45","980","1237","44.20","114","214","34.76","11.63","82.70","632","854","42.53","494","641","43.52","75","152","33.04","15.18","76.29","975","1154","45.80","486","596","44.92","39","62","38.61","8.02","89.60","1546","1810","46.07","807","995","44.78","24","44","35.29","2.97","95.58","7.38","88.63","0.960"
"12","Edmonton Oilers","71","4300","37","25","9","35","83","0.585","3767","4183","47.38","2859","3119","47.83","2100","2274","48.01","223","215","50.91","190.38","199.36","48.85","1882","2022","48.21","1125","1216","48.06","189","180","51.22","16.80","85.20","787","780","50.22","580","604","48.99","122","113","51.91","21.03","81.29","1095","1242","46.85","545","612","47.10","67","67","50.00","12.29","89.05","1616","1869","46.37","858","924","48.15","30","31","49.18","3.50","96.65","10.62","90.55","1.012"
"13","Florida Panthers","69","4185.2167","35","26","8","32","78","0.565","3956","3962","49.96","3005","2984","50.18","2254","2227","50.30","228","224","50.44","183.83","195.69","48.44","1813","1845","49.56","1177","1201","49.50","177","172","50.72","15.04","85.68","703","797","46.87","548","628","46.60","111","100","52.61","20.26","84.08","1110","1048","51.44","629","573","52.33","66","72","47.83","10.49","87.43","1847","1793","50.74","966","884","52.22","44","43","50.57","4.55","95.14","10.12","89.94","1.001"
"14","Los Angeles Kings","70","4240.1667","29","35","6","28","64","0.457","4272","3792","52.98","3258","2931","52.64","2325","2079","52.79","177","209","45.85","197.42","189.17","51.07","1852","1844","50.11","1132","1104","50.63","141","168","45.63","12.46","84.78","785","742","51.41","573","531","51.90","97","110","46.86","16.93","79.28","1067","1102","49.19","559","573","49.38","44","58","43.14","7.87","89.88","2030","1665","54.94","1058","863","55.08","29","35","45.31","2.74","95.94","7.61","89.95","0.976"
"15","Minnesota Wild","69","4180.45","35","27","7","33","77","0.558","3797","3876","49.49","2862","2908","49.60","2077","2115","49.55","218","217","50.11","170.64","161.92","51.31","1679","1602","51.17","1022","979","51.07","175","172","50.43","17.12","82.43","736","596","55.26","557","431","56.38","118","107","52.44","21.18","75.17","943","1006","48.38","465","548","45.90","57","65","46.72","12.26","88.14","1796","1911","48.45","939","1018","47.98","38","35","52.05","4.05","96.56","10.50","89.74","1.002"
"16","Montreal Canadiens","71","4309.9167","31","31","9","27","71","0.500","4455","3915","53.23","3304","2990","52.49","2423","2208","52.32","208","220","48.60","196.46","183.17","51.75","2065","1816","53.21","1245","1111","52.84","171","173","49.71","13.73","84.43","861","775","52.63","650","590","52.42","114","115","49.78","17.54","80.51","1204","1041","53.63","595","521","53.32","57","58","49.57","9.58","88.87","2036","1765","53.56","1043","955","52.20","33","41","44.59","3.16","95.71","8.58","90.04","0.986"
"17","New Jersey Devils","69","4211.7","28","29","12","24","68","0.493","3719","4134","47.36","2893","3101","48.26","2118","2257","48.41","185","224","45.23","184.12","187.52","49.54","1758","2030","46.41","1133","1227","48.01","146","177","45.20","12.89","85.57","747","724","50.78","566","551","50.67","101","107","48.56","17.84","80.58","1011","1306","43.63","567","676","45.62","45","70","39.13","7.94","89.64","1707","1819","48.41","877","920","48.80","35","42","45.45","3.99","95.43","8.73","90.08","0.988"
"18","Nashville Predators","69","4205.9833","35","26","8","32","78","0.565","4174","4004","51.04","3186","2984","51.64","2287","2158","51.45","212","214","49.77","194.42","182.86","51.53","1898","1882","50.21","1134","1145","49.76","176","173","50.43","15.52","84.89","729","765","48.80","562","577","49.34","121","115","51.27","21.53","80.07","1169","1117","51.14","572","568","50.18","55","58","48.67","9.62","89.79","1970","1811","52.10","1040","894","53.77","30","33","47.62","2.88","96.31","9.27","90.08","0.994"
"19","New York Islanders","68","4145.1667","35","23","10","32","80","0.588","3677","4171","46.85","2712","3018","47.33","2016","2124","48.70","189","190","49.87","175.21","180.8","49.22","1883","2037","48.04","1142","1160","49.61","157","150","51.14","13.75","87.07","853","819","51.02","667","592","52.98","120","108","52.63","17.99","81.76","1030","1218","45.82","475","568","45.54","37","42","46.84","7.79","92.61","1518","1805","45.68","780","844","48.03","29","35","45.31","3.72","95.85","9.38","91.05","1.004"
"20","New York Rangers","70","4225.3667","37","28","5","36","79","0.564","3830","4402","46.53","2960","3352","46.89","2175","2382","47.73","233","220","51.43","193.63","227.63","45.96","1905","2113","47.41","1156","1267","47.71","195","184","51.45","16.87","85.48","843","928","47.60","624","678","47.93","136","115","54.18","21.79","83.04","1062","1185","47.26","532","589","47.46","59","69","46.09","11.09","88.29","1637","1960","45.51","878","996","46.85","31","33","48.44","3.53","96.69","10.71","90.76","1.015"
"21","Ottawa Senators","71","4330.05","25","34","12","24","62","0.437","4076","4356","48.34","3086","3286","48.43","2175","2384","47.71","190","238","44.39","201.97","207.59","49.31","2009","2073","49.22","1155","1230","48.43","160","198","44.69","13.85","83.90","898","838","51.73","650","619","51.22","120","130","48.00","18.46","79.00","1111","1235","47.36","505","611","45.25","40","68","37.04","7.92","88.87","1726","1934","47.16","879","1030","46.05","27","36","42.86","3.07","96.50","8.74","90.02","0.988"
"22","Philadelphia Flyers","69","4205.5667","41","21","7","36","89","0.645","3838","3553","51.93","2918","2710","51.85","2167","1977","52.29","227","191","54.31","180.84","172.64","51.16","1776","1698","51.12","1115","1042","51.69","178","149","54.43","15.96","85.70","769","727","51.40","585","546","51.72","121","100","54.75","20.68","81.68","1007","971","50.91","530","496","51.66","57","49","53.77","10.75","90.12","1728","1554","52.65","907","800","53.13","42","38","52.50","4.63","95.25","10.48","90.34","1.008"
"23","Pittsburgh Penguins","69","4194.05","40","23","6","37","86","0.623","3862","3645","51.45","2945","2753","51.68","2205","2051","51.81","221","196","53.00","196.18","170.75","53.47","1885","1692","52.70","1210","1098","52.43","185","164","53.01","15.29","85.06","779","682","53.32","611","549","52.67","128","107","54.47","20.95","80.51","1106","1010","52.27","599","549","52.18","57","57","50.00","9.52","89.62","1682","1634","50.72","867","829","51.12","30","25","54.55","3.46","96.98","10.02","90.44","1.005"
"24","San Jose Sharks","70","4233.4167","29","36","5","27","63","0.450","3900","3866","50.22","2888","2930","49.64","2102","2141","49.54","180","225","44.44","192.33","199.27","49.11","1890","1970","48.96","1146","1239","48.05","148","185","44.44","12.91","85.07","810","841","49.06","616","640","49.04","92","118","43.81","14.94","81.56","1080","1129","48.89","530","599","46.94","56","67","45.53","10.57","88.81","1711","1562","52.28","854","753","53.14","30","31","49.18","3.51","95.88","8.56","89.49","0.981"
"25","St Louis Blues","71","4320.9167","42","19","10","40","94","0.662","3784","3705","50.53","2896","2861","50.30","2180","2103","50.90","223","190","54.00","182.96","188.7","49.23","1896","1840","50.75","1183","1173","50.21","171","131","56.62","14.45","88.83","699","768","47.65","542","587","48.01","98","79","55.37","18.08","86.54","1197","1072","52.75","641","586","52.24","73","52","58.40","11.39","91.13","1641","1597","50.68","888","822","51.93","46","55","45.54","5.18","93.31","10.23","90.97","1.012"
"26","Tampa Bay Lightning","70","4243.15","43","21","6","41","92","0.657","4006","3811","51.25","3032","2914","50.99","2176","2165","50.13","243","194","55.61","197.63","179.97","52.34","2051","1841","52.70","1279","1182","51.97","204","157","56.51","15.95","86.72","756","703","51.82","573","550","51.02","123","98","55.66","21.47","82.18","1295","1138","53.23","706","632","52.77","81","59","57.86","11.47","90.66","1684","1717","49.51","796","867","47.87","36","35","50.70","4.52","95.96","11.17","91.04","1.022"
"27","Toronto Maple Leafs","70","4261.8667","36","25","9","35","81","0.579","4260","4000","51.57","3224","3097","51.00","2302","2234","50.75","237","222","51.63","202.35","188.19","51.81","2149","1937","52.59","1295","1174","52.45","193","186","50.92","14.90","84.16","830","792","51.17","620","596","50.99","132","122","51.97","21.29","79.53","1319","1145","53.53","675","578","53.87","61","64","48.80","9.04","88.93","1855","1796","50.81","922","956","49.09","40","33","54.79","4.34","96.55","10.30","90.06","1.004"
"28","Vancouver Canucks","69","4189.2167","36","27","6","32","78","0.565","3945","4152","48.72","2985","3064","49.35","2153","2297","48.38","224","214","51.14","184.95","206.13","47.29","1877","2106","47.13","1112","1277","46.55","182","173","51.27","16.37","86.45","743","791","48.44","550","615","47.21","114","113","50.22","20.73","81.63","1134","1315","46.30","562","662","45.92","68","60","53.13","12.10","90.94","1764","1756","50.11","916","911","50.14","34","37","47.89","3.71","95.94","10.40","90.68","1.011"
"29","Vegas Golden Knights","71","4313.8","39","24","8","36","86","0.606","4451","3802","53.93","3381","2847","54.29","2452","2083","54.07","224","209","51.73","216.15","185.13","53.87","2249","1821","55.26","1424","1112","56.15","190","165","53.52","13.34","85.16","911","765","54.36","687","575","54.44","116","113","50.66","16.89","80.35","1338","1056","55.89","737","537","57.85","74","52","58.73","10.04","90.32","1864","1683","52.55","892","868","50.68","29","42","40.85","3.25","95.16","9.14","89.97","0.991"
"30","Winnipeg Jets","71","4300.8833","37","28","6","34","80","0.563","4013","4085","49.56","3052","3211","48.73","2222","2315","48.98","213","201","51.45","183.57","207.38","46.95","1860","2005","48.12","1128","1232","47.80","173","167","50.88","15.34","86.44","699","919","43.20","518","680","43.24","107","130","45.15","20.66","80.88","1161","1086","51.67","610","552","52.50","66","37","64.08","10.82","93.30","1903","1792","51.50","992","969","50.59","35","29","54.69","3.53","97.01","9.59","91.32","1.009"
"31","Washington Capitals","69","4198.0167","41","20","8","37","90","0.652","4053","3795","51.64","3090","2844","52.07","2208","2084","51.44","236","212","52.68","204.08","186.05","52.31","1929","1822","51.43","1153","1110","50.95","183","182","50.14","15.87","83.60","799","769","50.96","572","569","50.13","129","125","50.79","22.55","78.03","1130","1053","51.76","581","541","51.78","54","57","48.65","9.29","89.46","1760","1608","52.26","905","835","52.01","43","26","62.32","4.75","96.89","10.69","89.83","1.005"
