"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"1","Anaheim Ducks","71","4330.2","29","33","9","24","67","0.472","3916","4147","48.57","3011","3203","48.46","2108","2285","47.99","182","225","44.72","185.58","203.19","47.74","1912","2075","47.96","1135","1281","46.98","154","185","45.43","13.57","85.56","799","855","48.31","568","631","47.37","99","113","46.70","17.43","82.09","1113","1220","47.71","567","650","46.59","55","72","43.31","9.70","88.92","1720","1807","48.77","868","911","48.79","25","34","42.37","2.88","96.27","8.63","90.15","0.988"
"2","Arizona Coyotes","70","4260.0333","33","29","8","28","74","0.529","3920","4160","48.51","2995","3202","48.33","2220","2270","49.44","190","183","50.94","181.84","190.35","48.86","1818","1975","47.93","1124","1162","49.17","146","160","47.71","12.99","86.23","742","809","47.84","551","572","49.07","90","115","43.90","16.33","79.90","1076","1166","47.99","573","590","49.27","56","45","55.45","9.77","92.37","1765","1877","48.46","942","989","48.78","36","18","66.67","3.82","98.18","8.56","91.94","1.005"
"3","Boston Bruins","70","4260.7167","44","14","12","44","100","0.714","3985","3818","51.07","3068","2927","51.18","2247","2103","51.66","227","167","57.61","189.53","170.98","52.57","1889","1768","51.65","1154","1039","52.62","177","135","56.73","15.34","87.01","734","693","51.44","547","513","51.60","125","88","58.69","22.85","82.85","1155","1075","51.79","607","526","53.57","52","47","52.53","8.57","91.06","1804","1802","50.03","959","933","50.69","45","31","59.21","4.69","96.68","10.10","92.06","1.022"
"4","Buffalo Sabres","69","4184.3833","30","31","8","28","68","0.493","3592","3673","49.44","2785","2914","48.87","2021","2149","48.47","193","215","47.30","164.22","184.6","47.08","1680","1750","48.98","1021","1142","47.20","151","181","45.48","14.79","84.15","674","749","47.36","515","587","46.73","96","131","42.29","18.64","77.68","1006","1001","50.12","506","555","47.69","55","50","52.38","10.87","90.99","1676","1694","49.73","899","906","49.81","36","29","55.38","4.00","96.80","9.55","90.00","0.995"
"5","Carolina Hurricanes","68","4129.05","38","25","5","33","81","0.596","4123","3511","54.01","3133","2728","53.46","2262","1995","53.14","217","193","52.93","214.23","186.7","53.43","2013","1734","53.72","1207","1121","51.85","185","167","52.56","15.33","85.10","892","785","53.19","650","599","52.04","130","121","51.79","20.00","79.80","1121","949","54.15","557","522","51.62","55","46","54.46","9.87","91.19","1765","1471","54.54","911","749","54.88","28","24","53.85","3.07","96.80","9.59","90.33","0.999"
"6","Columbus Blue Jackets","70","4261.8","33","22","15","33","81","0.579","3808","3927","49.23","2968","2867","50.87","2272","2092","52.06","180","183","49.59","179.04","160.9","52.67","1756","1783","49.62","1170","1036","53.04","146","147","49.83","12.48","85.81","651","636","50.58","520","481","51.95","92","83","52.57","17.69","82.74","1105","1147","49.07","650","555","53.94","54","64","45.76","8.31","88.47","1730","1816","48.79","965","934","50.82","30","33","47.62","3.11","96.47","7.92","91.25","0.992"
"7","Calgary Flames","70","4268.5833","36","27","7","30","79","0.564","4097","4101","49.98","3097","3165","49.46","2213","2271","49.35","204","214","48.80","194.81","191.6","50.42","1967","2001","49.57","1193","1229","49.26","173","172","50.14","14.50","86.00","776","730","51.53","576","528","52.17","109","94","53.69","18.92","82.20","1191","1271","48.38","617","701","46.81","64","78","45.07","10.37","88.87","1840","1820","50.27","912","925","49.65","30","32","48.39","3.29","96.54","9.22","90.58","0.998"
"8","Chicago Blackhawks","70","4255.9667","32","30","8","28","72","0.514","3987","4168","48.89","2953","3153","48.36","2227","2459","47.52","208","214","49.29","191.89","210.59","47.68","1987","2136","48.19","1250","1364","47.82","164","178","47.95","13.12","86.95","804","905","47.05","623","707","46.84","107","121","46.93","17.17","82.89","1183","1231","49.01","627","657","48.83","57","57","50.00","9.09","91.32","1703","1723","49.71","887","975","47.64","37","29","56.06","4.17","97.03","9.34","91.30","1.006"
"9","Colorado Avalanche","70","4239.6333","42","20","8","41","92","0.657","4157","3980","51.09","3064","2950","50.95","2257","2194","50.71","236","190","55.40","191.02","180.76","51.38","2011","1818","52.52","1211","1111","52.15","181","151","54.52","14.95","86.41","726","732","49.79","555","558","49.87","95","105","47.50","17.12","81.18","1285","1086","54.20","656","553","54.26","86","46","65.15","13.11","91.68","1860","1829","50.42","958","939","50.50","48","34","58.54","5.01","96.38","10.46","91.34","1.018"
"10","Dallas Stars","69","4191.8333","37","24","8","35","82","0.594","3911","4007","49.39","2882","2976","49.20","2115","2177","49.28","178","174","50.57","192.7","180.59","51.62","1965","1867","51.28","1181","1091","51.98","144","133","51.99","12.19","87.81","830","728","53.27","618","543","53.23","101","91","52.60","16.34","83.24","1135","1139","49.91","563","548","50.68","43","42","50.59","7.64","92.34","1585","1789","46.98","799","970","45.17","28","35","44.44","3.50","96.39","8.42","92.01","1.004"
